                                        CALPUFF        Version: 5.8            Level: 070623      
 **********************************************************************************************************************************

CALPUFF test case run - 3 point sources                                         
24-Hour Simulation using CALMET met. data                                       
Gridded receptors on 17x17 20-km met grid                                       
 
                             ---------------
                                Mass Flux
                                  (g/s)
                             ---------------
 
                             RECT Box        
  Yr Day Hr   Species        In        Out      
 
2002   1 16 NH3          0.00000E+00 0.00000E+00
2002   1 17 SO2          0.41587E+00 0.00000E+00
2002   1 17 SO4          0.19455E-01 0.00000E+00
2002   1 17 NOX          0.52904E+00 0.00000E+00
2002   1 17 HNO3         0.35118E-01 0.00000E+00
2002   1 17 NO3          0.26218E-02 0.00000E+00
2002   1 17 PM10         0.62793E-01 0.00000E+00
2002   1 17 NH3          0.70608E-03 0.00000E+00
2002   1 18 SO2          0.00000E+00 0.40026E+00
2002   1 18 SO4          0.00000E+00 0.26267E-01
2002   1 18 NOX          0.00000E+00 0.48801E+00
2002   1 18 HNO3         0.00000E+00 0.45914E-01
2002   1 18 NO3          0.00000E+00 0.98526E-02
2002   1 18 PM10         0.00000E+00 0.62698E-01
2002   1 18 NH3          0.00000E+00 0.70608E-03
2002   1 19 SO2          0.00000E+00 0.00000E+00
2002   1 19 SO4          0.00000E+00 0.00000E+00
2002   1 19 NOX          0.00000E+00 0.00000E+00
2002   1 19 HNO3         0.00000E+00 0.00000E+00
2002   1 19 NO3          0.00000E+00 0.00000E+00
2002   1 19 PM10         0.00000E+00 0.00000E+00
2002   1 19 NH3          0.00000E+00 0.00000E+00
2002   1 20 SO2          0.00000E+00 0.00000E+00
2002   1 20 SO4          0.00000E+00 0.00000E+00
2002   1 20 NOX          0.00000E+00 0.00000E+00
2002   1 20 HNO3         0.00000E+00 0.00000E+00
2002   1 20 NO3          0.00000E+00 0.00000E+00
2002   1 20 PM10         0.00000E+00 0.00000E+00
2002   1 20 NH3          0.00000E+00 0.00000E+00
2002   1 21 SO2          0.39567E+00 0.00000E+00
2002   1 21 SO4          0.89453E-01 0.00000E+00
2002   1 21 NOX          0.30969E+00 0.00000E+00
2002   1 21 HNO3         0.11151E+00 0.00000E+00
2002   1 21 NO3          0.67057E-01 0.00000E+00
2002   1 21 PM10         0.74254E-01 0.00000E+00
2002   1 21 NH3          0.89120E-03 0.00000E+00
2002   1 22 SO2          0.80257E+00 0.00000E+00
2002   1 22 SO4          0.18930E+00 0.00000E+00
2002   1 22 NOX          0.63883E+00 0.00000E+00
2002   1 22 HNO3         0.28548E+00 0.00000E+00
2002   1 22 NO3          0.92397E-01 0.00000E+00
2002   1 22 PM10         0.14842E+00 0.00000E+00
2002   1 22 NH3          0.17824E-02 0.00000E+00
2002   1 23 SO2          0.00000E+00 0.00000E+00
2002   1 23 SO4          0.00000E+00 0.00000E+00
2002   1 23 NOX          0.00000E+00 0.00000E+00
2002   1 23 HNO3         0.00000E+00 0.00000E+00
2002   1 23 NO3          0.00000E+00 0.00000E+00
2002   1 23 PM10         0.00000E+00 0.00000E+00
2002   1 23 NH3          0.00000E+00 0.00000E+00
2002   2  0 SO2          0.00000E+00 0.00000E+00
2002   2  0 SO4          0.00000E+00 0.00000E+00
2002   2  0 NOX          0.00000E+00 0.00000E+00
2002   2  0 HNO3         0.00000E+00 0.00000E+00
2002   2  0 NO3          0.00000E+00 0.00000E+00
2002   2  0 PM10         0.00000E+00 0.00000E+00
2002   2  0 NH3          0.00000E+00 0.00000E+00
